District ID,id,Pop20,DHouseholds,DTotal_Income,DArea,DSumAge,DTotal_Rent,DTotalCom,D20Minus,D20to40,D40to65,D65Plus,D0_25k,D25k_50k,D50k_100k,D100k_200k,D200kPlus,DGINI,DOc,DOcOth,DOc1Det,DOc1Att,DOc2_10,DOc10_50,DOc50_Plus,DWhite,DBlack,DNative,DAsian,DPacific,DOther,DMultiracial,DLatino,DVAP,DWhiteVAP,DBlackVAP,DNativeVAP,DAsianVAP,DPacificVAP,DOtherVAP,DMultiracialVAP,DLatinoVAP,DPop10,D10White,D10Black,D10Native,D10Asian,D10Pacific,D10Other,D10Multiracial,D10Latino,D10PCI,D00PCI,DPop00,D00White,D00Black,D00Native,D00Asian,D00Pacific,D00Other,D00Multiracial,D00Latino,DPop90,D90White,D90Black,D90Native,D90Asian,D90Other,D90Latino,D5_or_older,DEnglishOnly,DLimitedEnglish,DSpanish,DIndoEuropean,DAsianPacific,DOtherLanguage,D25_or_older,DHighschool,DBachelors,DGraduate,DNonInstit,DInsured,DUninsured,DMale,DFemale,DVeteran,DWorker_16_up,DCCar,DCTransit,DCWalk,DCBike,DCOther,DIAgri,DIConst,DIMfg,DIWholesale,DIRetail,DITrans,DIInfo,DIProf,DIEdu,DIArts,DIOther,DIPa,DIArmy,DinState,DoutState,DinCounty,DoutCounty,D16_up,DInLF,DUnemployed,DPopPov,DPoverty,DOHousing,DOwner,DRenter,DA_All,DA_Oth,DA_SouthAsia,DA_China,DA_SEasia,DA_Viet,DA_Filipino,DA_Japan,DA_Korea,DE_All,DE_Oth,DE_Germ,DE_USA,DE_Ire,DE_Brit,DE_Italy,DE_Scand,DE_Dutch,DE_Fr,DE_EastEuro,DE_Portug,DE_Czech,DE_Brazil,DE_Arab,DE_Polish,DE_Iran,DE_Balkan,DE_Hungary,DE_Greek,DF_All,DF_African,DF_Carib,DF_AA,DL_All,DL_Oth,DL_Mex,DL_PR,DL_Cuba,DL_Domin,DL_CA,DL_SA,DL_Spain,DUSBorn,DInStateB,DOutStateB,DForeignBorn,DForeignC,DForeignNC,DStSpouse,DGaySpouse,DStPartner,DGayPartner,DCapitaIncome,G22AgD,G22AgR,G22AgO,G22AgrCD,G22AgrCR,G22AgrCO,G22TreD,G22TreR,G22TreO,G22AudD,G22AudR,G22AudO,G22SosD,G22SosR,G22SosO,G22GovD,G22GovR,G22GovO,G22SenD,G22SenR,G22SenO,G20PreD,G20PreR,G20SenD,G20SenR,G20PreO,G20SenO,G18GovR,G18GovD,G18AgD,G18AgR,G18SosR,G18SosD,G18TreR,G18TreD,G18AudR,G18AudD,G18AgrCR,G18AgrCD,G18GovO,G18AgO,G18SosO,G18TreO,G18AudO,G18AgrCO,G16PreR,G16PreD,G16SenR,G16SenD,G16PreO,G16SenO,G16PrePCli,G16PrePSan,G16PrePO,G16PrePAll,G14AgR,G14AgD,G14AgO,G14AgrCR,G14AgrCD,G14AgrCO,G14TreR,G14TreD,G14TreO,G14AudR,G14AudD,G14AudO,G14SosR,G14SosD,G14SosO,G14GovR,G14GovD,G14GovO,G14SenR,G14SenD,G14SenO,G12PreR,G12PreD,G12PreO,G24GuessD,G24GuessR,G28GuessD,G28GuessR,DNonVet,GBuildD,GBuildR
1,1,32022,11899,786724478,36498,1138579,9932324,249583,9810,8579,9414,4227,2875,2788,3846,2040,261,13038,12693,118,9373,125,1648,883,276,18366,2121,1400,1471,328,4236,4094,9506,22959,14286,1344,872,1167,199,2752,2340,5758,32432,22968,1461,1328,1211,72,3742,1629,8082,715558892,861527582,32424,25105,1154,902,1245,8,2410,853,5250,30687,27169,1111,944,352,616,1310,29674,20660,3996,7017,274,1225,384,19706,15221,3137,894,31801,28841,2880,15274,16748,1301,15020,14381,202,158,4,35,160,1198,3368,382,1556,494,725,876,3168,1886,469,278,6,11309,3701,10700,4334,23931,16135,1035,31370,6116,11899,7334,4561,2119,173,23,30,596,958,141,7,19,6285,173,2708,673,742,343,8,669,129,45,1,1,2,0,91,25,0,0,25,7,11893,480,3,11390,9572,191,7501,57,7,0,1644,34,0,26958,18178,8275,5064,2240,2765,4424,8,1079,1,795999792,3057,2704,0,2661,3076,0,2970,2799,0,3097,2678,0,2731,3051,0,2525,3152,77,2805,3016,1,5610,4808,5543,4332,120,433,3574,4413,5586,1522,3354,4461,2967,4768,2834,4889,3222,4433,111,32,140,121,134,243,4584,5236,5196,4578,716,535,547,629,0,1176,2786,3939,0,3259,2981,351,3001,3506,103,3148,3399,0,2698,3598,383,3734,2961,166,3082,3447,400,3859,7133,163,5451,4969,5331,5093,0,0,0
2,2,31969,11702,914364857,250496,1148756,10758007,292345,9635,8616,9327,4399,2103,2446,3691,2981,388,12418,12638,862,8461,250,1205,1172,550,22838,2076,666,937,128,2582,2750,5681,23880,18026,1365,475,723,70,1662,1555,3467,30038,25327,640,519,772,17,1808,913,4015,840800905,1007999773,31299,27360,454,423,689,18,1373,516,2744,28656,26761,393,322,555,369,669,29554,24798,2257,2967,346,761,617,20213,18167,5170,1457,31557,29528,1992,16578,15391,1596,15938,15448,123,231,4,35,196,1175,2926,362,2157,685,735,1115,3242,1418,972,556,21,13274,2657,12441,3502,24112,16937,1058,31128,3567,11702,7721,3989,1017,110,19,19,270,411,32,7,33,9224,265,3861,1527,1059,663,29,597,199,161,25,1,33,0,3,140,0,2,0,83,7506,587,0,6916,5281,110,4147,197,139,0,482,87,4,28817,21553,7010,3154,1581,1494,5736,22,1092,14,944410859,3683,4509,0,2922,5260,0,3533,4654,0,3743,4442,0,3051,5190,0,2831,5318,169,3218,5078,3,5794,7274,5790,6809,283,519,5720,4656,6755,2138,5543,4566,4755,5251,4595,5449,5394,4576,209,53,208,226,262,318,7111,4984,7913,4274,884,587,488,640,0,1097,4523,4270,2,5445,2850,415,4944,3660,174,5125,3410,2,4471,3855,462,5846,3006,245,5007,3640,498,6537,6575,263,5913,7151,6073,6988,0,0,0
3,3,31928,12060,1025518473,2167466,1232066,10114641,256472,9164,7713,9444,5597,1559,2141,4561,3013,401,12199,12909,389,10010,336,1217,401,0,28073,411,174,192,91,1348,1641,2977,23648,21332,240,119,147,55,857,897,1767,30749,28998,130,97,205,4,969,309,1885,872003012,866537040,29711,28966,88,46,112,9,249,175,550,28301,28085,47,20,95,24,58,30038,27612,859,1697,109,34,280,20291,19061,5478,1375,31756,29955,1635,15720,16208,1581,16767,15986,20,243,15,73,1167,1072,3164,224,1681,702,751,681,4111,712,609,277,13,16145,361,13657,3066,24697,17416,522,30785,1884,12060,9192,2774,128,0,1,0,0,2,9,78,4,13348,164,5309,719,378,330,17,379,4827,25,13,0,15,0,0,1,0,19,0,0,2990,3,0,2973,2516,68,1683,7,0,27,411,2,20,30435,22219,7841,1493,495,917,7255,2,356,0,1044565419,2736,8889,0,1742,9998,0,2703,8923,0,3036,8647,0,2015,9741,0,1758,10161,78,2200,9736,0,3912,12777,3928,12562,246,238,10062,2749,6624,2633,9747,2669,8802,3427,8701,3633,9687,2649,108,19,101,127,131,164,11781,3138,12818,2395,978,311,262,277,0,697,8555,2531,0,9244,1522,113,8472,2416,101,8590,2006,0,7816,2691,322,9612,1669,97,8796,2257,267,11156,4146,125,4052,12635,4053,12636,0,0,0
4,4,31733,10996,962038944,2410271,1159725,9992883,245944,10349,7480,8831,5036,1220,2061,4288,2724,442,12078,11738,170,9909,199,453,385,84,27950,140,134,148,46,1655,1659,3547,22468,20330,65,85,114,35,976,862,1986,29547,28078,64,44,165,2,925,233,1920,782953178,726400296,28003,27472,30,24,112,4,218,112,523,26914,26692,7,25,160,14,33,29290,27300,713,1593,89,13,0,19141,17619,5263,1280,31502,29582,1750,16346,15387,1013,16671,15928,4,285,28,42,1466,1119,2553,416,1186,461,833,901,4397,803,571,158,0,15215,1225,13296,3302,23596,17123,210,30399,1359,10996,9028,1924,193,0,95,24,41,0,6,1,0,16336,138,3756,997,154,161,5,121,10125,2,0,1,0,0,4,0,0,0,0,1,2615,1,0,2598,2709,92,2008,4,0,0,368,2,3,30475,20009,10172,1258,403,723,7167,2,197,0,989768237,1598,10835,0,1063,11423,0,1643,10743,0,1687,10677,0,1218,11284,0,1087,11601,19,1424,11239,0,2370,14520,2237,14447,205,149,11548,1707,5566,2766,11310,1576,10675,2072,10874,1835,11279,1497,39,36,63,72,89,84,13602,1870,14241,1479,781,232,62,96,2,264,9934,1379,0,10387,750,52,9858,1364,60,10032,1029,0,9752,1152,224,10636,831,81,10263,1118,129,13116,2484,113,2497,14393,2442,14447,0,0,0
5,5,31904,13057,985875262,3728812,1321892,8871181,286748,8370,6613,10203,6623,2123,3047,4581,2662,184,12699,14824,197,12304,68,727,450,86,28605,297,165,194,129,1054,1459,2587,24576,22532,200,112,143,81,713,798,1559,32296,30880,180,56,173,14,696,271,1503,969262104,960054081,33640,32866,95,39,127,3,235,127,640,34893,34595,26,54,112,29,112,30185,27974,536,1320,5,324,60,22034,20238,4668,1113,31532,30063,1230,16185,15719,1831,15766,14940,77,209,3,3,1307,746,2390,386,1623,464,470,236,3982,393,416,316,0,15283,277,11173,4436,25387,16766,622,31356,3685,13057,9972,3128,470,0,0,1,242,0,7,111,46,11769,127,5664,828,326,262,17,597,2121,51,4,0,7,7,0,0,0,0,0,0,2627,98,0,2403,1869,17,1310,264,1,2,71,2,0,30961,24250,6076,943,358,483,6725,0,580,0,1014843400,3196,8434,0,1817,9881,0,3155,8418,0,3282,8271,0,2219,9447,0,1928,9806,81,2459,9318,0,4054,12650,4265,11996,96,293,9362,3503,7516,2423,9440,3029,8076,4253,8258,4158,9498,2999,111,10,98,97,91,134,12113,3521,12962,2817,849,312,226,293,0,753,7528,4108,0,9571,1786,182,7675,3653,158,8548,2597,0,7602,3437,335,9636,2251,129,8583,2939,452,10804,5402,151,4192,12513,4121,12585,0,0,0
6,6,31878,12656,910180085,2052847,1235021,9488865,244556,8956,7857,9466,5522,2554,3409,3673,2411,281,13495,14000,81,10231,187,1914,1117,106,23165,649,149,1966,557,2850,2543,6029,24019,18342,428,108,1340,339,1883,1575,3859,31461,27185,568,83,1196,101,1803,484,4712,856680830,881025265,31868,29277,79,37,979,7,1107,328,2514,31279,30711,54,35,405,36,151,29919,23567,3309,4170,15,1689,178,20856,17935,4557,1237,31501,29510,1909,16346,15532,1410,15402,14415,36,753,20,16,609,797,3663,275,1891,613,751,736,3220,752,508,150,0,15295,38,13047,2258,24958,16783,1148,30798,3474,12656,8517,4092,2148,528,0,0,1351,128,13,1,65,9016,149,4315,989,463,476,30,1331,105,13,2,2,36,0,0,64,0,0,0,0,7551,208,0,7316,5657,6,4335,62,156,0,783,3,214,27822,20284,7106,4056,1532,2430,5938,9,671,19,926570377,3615,5703,0,2183,7223,0,3638,5656,0,3718,5578,0,2572,6780,0,2456,6936,111,2840,6568,0,4883,9139,5057,8546,238,459,6678,4350,7242,1807,6963,3702,5514,5123,5817,4843,7126,3589,130,0,143,161,146,186,8812,4433,9556,3735,867,548,534,535,7,1032,5105,4413,0,7183,2133,199,4795,4351,286,6182,2942,0,5296,3705,398,6945,2636,269,6006,3376,462,7866,6040,162,4936,9085,4910,9111,0,0,0
7,7,31944,13293,1015108521,5340023,1361906,8171602,308583,7698,6643,10193,7100,2307,2834,4570,2342,219,13382,16115,176,13998,34,621,62,26,29909,293,66,104,40,463,1070,1096,24800,23497,229,64,70,21,302,615,656,32638,31976,110,42,59,15,159,257,504,934894263,1024203167,36529,35924,126,47,52,4,108,165,290,38098,37916,34,29,50,27,108,30269,29122,72,289,193,7,1,22435,21062,4271,765,31265,29884,979,16121,15823,1743,14602,13858,3,219,2,19,1413,509,1935,251,1279,631,420,261,3451,251,291,261,0,14546,8,9512,5222,25507,15771,520,31205,2669,13293,10682,2398,42,0,0,4,1,1,0,0,13,12172,130,6466,1016,699,453,3,1156,14,7,0,0,54,0,0,6,0,1,0,0,1702,1,0,1700,597,1,405,0,0,0,86,0,0,31773,26307,4961,171,44,69,6822,0,588,0,1033339355,4300,8288,0,2453,10182,0,4427,8155,0,4445,8121,0,2801,9823,0,2623,10014,102,3124,9569,0,4571,12747,4803,12056,98,331,9291,4466,9142,2735,9438,3990,7137,6290,8082,5251,9434,4028,130,0,79,81,108,100,11831,4370,12739,3577,730,347,482,288,2,1150,5971,6537,0,9734,2332,231,6219,5807,175,8092,3787,0,6924,4746,435,8954,3214,588,8321,3852,480,10054,7155,134,4344,12973,3887,13430,0,0,0
8,8,31874,13408,939457695,973932,1269091,9769620,257509,7980,8537,9377,5893,3069,3017,4558,2346,246,13571,14459,365,11045,182,1422,914,204,27286,1796,166,285,16,633,1691,1911,25297,22168,1440,128,229,16,426,892,1180,32544,29734,1422,104,230,7,390,635,1382,883491864,971479558,33987,31411,1303,93,228,6,395,387,834,34061,32760,840,78,126,131,404,30156,28614,415,763,321,189,106,21464,19512,4110,1079,30105,27940,2089,16742,15132,1767,14692,13793,82,352,5,274,377,1066,2188,249,1941,795,723,611,3416,1191,642,434,14,14559,108,12895,1691,26118,15477,747,29125,4390,13408,8879,4552,424,0,93,96,12,3,22,2,186,8047,341,3115,676,893,590,115,1297,41,24,47,0,52,0,6,31,0,0,0,0,3915,79,19,3787,1886,169,1155,173,0,24,88,10,159,31030,24420,6263,844,136,654,5185,2,1235,14,952709158,4567,5272,0,3197,6616,0,4486,5353,0,4510,5321,0,3356,6523,0,3305,6436,111,3716,6144,0,5832,8765,6015,8140,151,568,6201,5344,8105,2228,6186,4981,4733,6496,5365,5778,6088,5019,146,20,231,149,251,312,8096,5564,8960,4770,976,669,787,700,7,1449,3853,6838,0,6563,3553,470,3936,6293,276,5348,4854,0,4629,5296,637,6378,4072,476,5598,4708,590,6798,8264,184,5451,9147,5048,9550,0,0,0
9,9,31980,13500,969137021,3945779,1357701,9072534,262626,8005,6906,9810,7207,2545,3183,4452,2510,174,13080,15648,119,13035,114,1124,488,58,29159,372,88,195,8,814,1343,2000,25279,23402,288,67,165,8,546,802,1226,33595,32187,183,105,181,4,548,356,1297,1004230934,1000957862,36171,35396,46,66,153,1,276,149,782,37888,37530,47,24,145,89,211,30373,28770,672,935,84,140,4,22312,20646,4270,910,31576,30328,1013,16109,15871,1841,15565,14312,9,447,38,54,776,796,3074,402,1661,591,633,503,3201,743,494,132,0,14411,934,11480,3929,25977,16301,530,30601,3175,13500,10402,2955,289,0,71,0,19,3,166,0,5,11929,75,5818,854,510,414,66,2658,98,5,0,0,71,0,0,0,0,4,1,1,2233,2,4,2191,1781,30,1001,85,89,0,309,20,0,31025,21756,8810,955,415,501,6199,0,763,0,1001546409,4619,8327,0,3159,9832,0,4819,8139,0,4568,8345,0,3606,9374,0,3389,9496,149,3971,9057,0,5857,11898,6278,10998,187,545,8729,5267,9329,2914,8786,4927,7082,6614,8242,5399,8947,4833,171,14,163,173,166,196,11058,5375,12109,4576,1022,609,593,507,5,1203,6169,6535,0,9163,3106,421,5843,6391,308,7719,4639,0,6709,5182,640,9216,3544,265,7431,4868,662,9340,8114,165,5647,12108,5367,12388,0,0,0
10,10,31915,13940,1140505982,3612675,1376192,11612937,272395,7503,6462,10119,7615,1838,2931,5155,2951,453,12678,20790,1054,16217,278,1642,912,121,30257,152,52,136,8,297,1014,827,25268,24250,105,41,104,1,191,579,470,31453,30866,77,39,110,12,86,236,381,1037331732,1030222494,32107,31731,45,56,62,4,33,122,185,31352,31203,18,34,37,14,60,30433,29416,199,293,68,135,38,22819,21676,6337,1313,31712,30230,1308,16170,15745,1890,16448,15561,6,199,33,53,911,1167,2324,216,1660,600,753,901,3404,928,599,300,0,16051,321,12798,3472,25958,17220,370,31456,2241,13940,10910,2918,165,0,12,11,18,0,94,0,4,12619,117,6944,941,733,386,53,1492,347,62,5,0,9,0,14,14,0,5,0,2,1583,24,0,1511,606,0,447,6,7,0,13,12,1,31509,23972,7203,406,70,252,7045,7,642,2,1143482308,4887,9111,0,2880,11201,0,4815,9183,0,4822,9165,0,3603,10447,0,3395,10596,160,4040,10152,0,5989,13174,6363,12467,149,340,9534,5340,9253,2891,9629,4879,7983,6445,8533,5918,10452,4236,137,41,114,134,144,111,11976,5199,13056,4198,801,466,591,486,3,1251,6651,5995,0,9983,2565,167,6335,5877,202,8047,4064,2,7030,4986,352,9370,3554,139,8023,4451,502,10373,7443,158,5890,13273,5637,13526,0,0,0
